# E = 1.2337
# x, V(x), psi, |psi|^2
-5.000000e+00 0.000000e+00 1.610954e+00 1.376020e+00
-4.990000e+00 0.000000e+00 1.614679e+00 1.378846e+00
-4.980000e+00 0.000000e+00 1.618311e+00 1.381626e+00
-4.970000e+00 0.000000e+00 1.621848e+00 1.384359e+00
-4.960000e+00 0.000000e+00 1.625289e+00 1.387042e+00
-4.950000e+00 0.000000e+00 1.628634e+00 1.389673e+00
-4.940000e+00 0.000000e+00 1.631881e+00 1.392248e+00
-4.930000e+00 0.000000e+00 1.635030e+00 1.394766e+00
-4.920000e+00 0.000000e+00 1.638080e+00 1.397223e+00
-4.910000e+00 0.000000e+00 1.641030e+00 1.399618e+00
-4.900000e+00 0.000000e+00 1.643879e+00 1.401947e+00
-4.890000e+00 0.000000e+00 1.646628e+00 1.404209e+00
-4.880000e+00 0.000000e+00 1.649274e+00 1.406402e+00
-4.870000e+00 0.000000e+00 1.651818e+00 1.408523e+00
-4.860000e+00 0.000000e+00 1.654259e+00 1.410570e+00
-4.850000e+00 0.000000e+00 1.656596e+00 1.412541e+00
-4.840000e+00 0.000000e+00 1.658829e+00 1.414434e+00
-4.830000e+00 0.000000e+00 1.660956e+00 1.416248e+00
-4.820000e+00 0.000000e+00 1.662979e+00 1.417980e+00
-4.810000e+00 0.000000e+00 1.664895e+00 1.419629e+00
-4.800000e+00 0.000000e+00 1.666705e+00 1.421194e+00
-4.790000e+00 0.000000e+00 1.668408e+00 1.422671e+00
-4.780000e+00 0.000000e+00 1.670004e+00 1.424062e+00
-4.770000e+00 0.000000e+00 1.671493e+00 1.425362e+00
-4.760000e+00 0.000000e+00 1.672873e+00 1.426573e+00
-4.750000e+00 0.000000e+00 1.674145e+00 1.427692e+00
-4.740000e+00 0.000000e+00 1.675308e+00 1.428718e+00
-4.730000e+00 0.000000e+00 1.676362e+00 1.429650e+00
-4.720000e+00 0.000000e+00 1.677307e+00 1.430488e+00
-4.710000e+00 0.000000e+00 1.678143e+00 1.431230e+00
-4.700000e+00 0.000000e+00 1.678869e+00 1.431875e+00
-4.690000e+00 0.000000e+00 1.679485e+00 1.432424e+00
-4.680000e+00 0.000000e+00 1.679991e+00 1.432876e+00
-4.670000e+00 0.000000e+00 1.680387e+00 1.433230e+00
-4.660000e+00 0.000000e+00 1.680673e+00 1.433485e+00
-4.650000e+00 0.000000e+00 1.680849e+00 1.433642e+00
-4.640000e+00 0.000000e+00 1.680914e+00 1.433700e+00
-4.630000e+00 0.000000e+00 1.680869e+00 1.433660e+00
-4.620000e+00 0.000000e+00 1.680713e+00 1.433521e+00
-4.610000e+00 0.000000e+00 1.680447e+00 1.433283e+00
-4.600000e+00 0.000000e+00 1.680071e+00 1.432947e+00
-4.590000e+00 0.000000e+00 1.679585e+00 1.432514e+00
-4.580000e+00 0.000000e+00 1.678989e+00 1.431982e+00
-4.570000e+00 0.000000e+00 1.678283e+00 1.431354e+00
-4.560000e+00 0.000000e+00 1.677467e+00 1.430629e+00
-4.550000e+00 0.000000e+00 1.676542e+00 1.429809e+00
-4.540000e+00 0.000000e+00 1.675507e+00 1.428894e+00
-4.530000e+00 0.000000e+00 1.674364e+00 1.427885e+00
-4.520000e+00 0.000000e+00 1.673112e+00 1.426783e+00
-4.510000e+00 0.000000e+00 1.671751e+00 1.425589e+00
-4.500000e+00 0.000000e+00 1.670282e+00 1.424304e+00
-4.490000e+00 0.000000e+00 1.668706e+00 1.422930e+00
-4.480000e+00 0.000000e+00 1.667022e+00 1.421468e+00
-4.470000e+00 0.000000e+00 1.665231e+00 1.419919e+00
-4.460000e+00 0.000000e+00 1.663334e+00 1.418286e+00
-4.450000e+00 0.000000e+00 1.661331e+00 1.416568e+00
-4.440000e+00 0.000000e+00 1.659222e+00 1.414769e+00
-4.430000e+00 0.000000e+00 1.657009e+00 1.412890e+00
-4.420000e+00 0.000000e+00 1.654691e+00 1.410933e+00
-4.410000e+00 0.000000e+00 1.652269e+00 1.408900e+00
-4.400000e+00 0.000000e+00 1.649743e+00 1.406792e+00
-4.390000e+00 0.000000e+00 1.647115e+00 1.404612e+00
-4.380000e+00 0.000000e+00 1.644386e+00 1.402363e+00
-4.370000e+00 0.000000e+00 1.641554e+00 1.400045e+00
-4.360000e+00 0.000000e+00 1.638622e+00 1.397662e+00
-4.350000e+00 0.000000e+00 1.635591e+00 1.395216e+00
-4.340000e+00 0.000000e+00 1.632460e+00 1.392709e+00
-4.330000e+00 0.000000e+00 1.629230e+00 1.390144e+00
-4.320000e+00 0.000000e+00 1.625903e+00 1.387524e+00
-4.310000e+00 0.000000e+00 1.622480e+00 1.384850e+00
-4.300000e+00 0.000000e+00 1.618960e+00 1.382125e+00
-4.290000e+00 0.000000e+00 1.615345e+00 1.379353e+00
-4.280000e+00 0.000000e+00 1.611637e+00 1.376536e+00
-4.270000e+00 0.000000e+00 1.607834e+00 1.373677e+00
-4.260000e+00 0.000000e+00 1.603940e+00 1.370778e+00
-4.250000e+00 0.000000e+00 1.599954e+00 1.367842e+00
-4.240000e+00 0.000000e+00 1.595878e+00 1.364873e+00
-4.230000e+00 0.000000e+00 1.591713e+00 1.361873e+00
-4.220000e+00 0.000000e+00 1.587459e+00 1.358845e+00
-4.210000e+00 0.000000e+00 1.583118e+00 1.355793e+00
-4.200000e+00 0.000000e+00 1.578690e+00 1.352719e+00
-4.190000e+00 0.000000e+00 1.574178e+00 1.349625e+00
-4.180000e+00 0.000000e+00 1.569581e+00 1.346517e+00
-4.170000e+00 0.000000e+00 1.564902e+00 1.343395e+00
-4.160000e+00 0.000000e+00 1.560141e+00 1.340264e+00
-4.150000e+00 0.000000e+00 1.555300e+00 1.337126e+00
-4.140000e+00 0.000000e+00 1.550379e+00 1.333986e+00
-4.130000e+00 0.000000e+00 1.545379e+00 1.330844e+00
-4.120000e+00 0.000000e+00 1.540304e+00 1.327706e+00
-4.110000e+00 0.000000e+00 1.535152e+00 1.324573e+00
-4.100000e+00 0.000000e+00 1.529926e+00 1.321450e+00
-4.090000e+00 0.000000e+00 1.524627e+00 1.318339e+00
-4.080000e+00 0.000000e+00 1.519256e+00 1.315242e+00
-4.070000e+00 0.000000e+00 1.513815e+00 1.312164e+00
-4.060000e+00 0.000000e+00 1.508304e+00 1.309108e+00
-4.050000e+00 0.000000e+00 1.502726e+00 1.306075e+00
-4.040000e+00 0.000000e+00 1.497081e+00 1.303070e+00
-4.030000e+00 0.000000e+00 1.491372e+00 1.300095e+00
-4.020000e+00 0.000000e+00 1.485599e+00 1.297153e+00
-4.010000e+00 0.000000e+00 1.479763e+00 1.294247e+00
-4.000000e+00 0.000000e+00 1.473867e+00 1.291381e+00
-3.990000e+00 0.000000e+00 1.467912e+00 1.288556e+00
-3.980000e+00 0.000000e+00 1.461899e+00 1.285775e+00
-3.970000e+00 0.000000e+00 1.455830e+00 1.283042e+00
-3.960000e+00 0.000000e+00 1.449706e+00 1.280359e+00
-3.950000e+00 0.000000e+00 1.443528e+00 1.277728e+00
-3.940000e+00 0.000000e+00 1.437299e+00 1.275153e+00
-3.930000e+00 0.000000e+00 1.431019e+00 1.272635e+00
-3.920000e+00 0.000000e+00 1.424691e+00 1.270178e+00
-3.910000e+00 0.000000e+00 1.418316e+00 1.267783e+00
-3.900000e+00 0.000000e+00 1.411895e+00 1.265454e+00
-3.890000e+00 0.000000e+00 1.405430e+00 1.263192e+00
-3.880000e+00 0.000000e+00 1.398923e+00 1.260999e+00
-3.870000e+00 0.000000e+00 1.392375e+00 1.258878e+00
-3.860000e+00 0.000000e+00 1.385788e+00 1.256831e+00
-3.850000e+00 0.000000e+00 1.379164e+00 1.254860e+00
-3.840000e+00 0.000000e+00 1.372503e+00 1.252967e+00
-3.830000e+00 0.000000e+00 1.365808e+00 1.251153e+00
-3.820000e+00 0.000000e+00 1.359081e+00 1.249421e+00
-3.810000e+00 0.000000e+00 1.352323e+00 1.247772e+00
-3.800000e+00 0.000000e+00 1.345535e+00 1.246208e+00
-3.790000e+00 0.000000e+00 1.338720e+00 1.244730e+00
-3.780000e+00 0.000000e+00 1.331879e+00 1.243340e+00
-3.770000e+00 0.000000e+00 1.325014e+00 1.242039e+00
-3.760000e+00 0.000000e+00 1.318126e+00 1.240828e+00
-3.750000e+00 0.000000e+00 1.311217e+00 1.239709e+00
-3.740000e+00 0.000000e+00 1.304289e+00 1.238683e+00
-3.730000e+00 0.000000e+00 1.297344e+00 1.237751e+00
-3.720000e+00 0.000000e+00 1.290383e+00 1.236913e+00
-3.710000e+00 0.000000e+00 1.283409e+00 1.236171e+00
-3.700000e+00 0.000000e+00 1.276421e+00 1.235526e+00
-3.690000e+00 0.000000e+00 1.269424e+00 1.234977e+00
-3.680000e+00 0.000000e+00 1.262417e+00 1.234525e+00
-3.670000e+00 0.000000e+00 1.255404e+00 1.234172e+00
-3.660000e+00 0.000000e+00 1.248385e+00 1.233916e+00
-3.650000e+00 0.000000e+00 1.241362e+00 1.233759e+00
-3.640000e+00 0.000000e+00 1.234338e+00 1.233701e+00
-3.630000e+00 0.000000e+00 1.227313e+00 1.233741e+00
-3.620000e+00 0.000000e+00 1.220290e+00 1.233880e+00
-3.610000e+00 0.000000e+00 1.213270e+00 1.234118e+00
-3.600000e+00 0.000000e+00 1.206256e+00 1.234454e+00
-3.590000e+00 0.000000e+00 1.199248e+00 1.234888e+00
-3.580000e+00 0.000000e+00 1.192248e+00 1.235419e+00
-3.570000e+00 0.000000e+00 1.185259e+00 1.236047e+00
-3.560000e+00 0.000000e+00 1.178282e+00 1.236772e+00
-3.550000e+00 0.000000e+00 1.171319e+00 1.237592e+00
-3.540000e+00 0.000000e+00 1.164370e+00 1.238507e+00
-3.530000e+00 0.000000e+00 1.157439e+00 1.239516e+00
-3.520000e+00 0.000000e+00 1.150527e+00 1.240618e+00
-3.510000e+00 0.000000e+00 1.143635e+00 1.241812e+00
-3.500000e+00 0.000000e+00 1.136766e+00 1.243097e+00
-3.490000e+00 0.000000e+00 1.129920e+00 1.244471e+00
-3.480000e+00 0.000000e+00 1.123100e+00 1.245933e+00
