# E = 6.5
# x, V(x), E + psi, E + |psi|^2
-5.000000e+00, 1.250000e+01, 6.515254e+00, 6.500233e+00
-4.989990e+00, 1.245000e+01, 6.515416e+00, 6.500238e+00
-4.979980e+00, 1.240010e+01, 6.515596e+00, 6.500243e+00
-4.969970e+00, 1.235030e+01, 6.515795e+00, 6.500249e+00
-4.959960e+00, 1.230060e+01, 6.516012e+00, 6.500256e+00
-4.949950e+00, 1.225100e+01, 6.516248e+00, 6.500264e+00
-4.939940e+00, 1.220150e+01, 6.516502e+00, 6.500272e+00
-4.929930e+00, 1.215210e+01, 6.516776e+00, 6.500281e+00
-4.919920e+00, 1.210281e+01, 6.517068e+00, 6.500291e+00
-4.909910e+00, 1.205361e+01, 6.517380e+00, 6.500302e+00
-4.899900e+00, 1.200451e+01, 6.517711e+00, 6.500314e+00
-4.889890e+00, 1.195551e+01, 6.518061e+00, 6.500326e+00
-4.879880e+00, 1.190661e+01, 6.518431e+00, 6.500340e+00
-4.869870e+00, 1.185782e+01, 6.518821e+00, 6.500354e+00
-4.859860e+00, 1.180912e+01, 6.519232e+00, 6.500370e+00
-4.849850e+00, 1.176052e+01, 6.519663e+00, 6.500387e+00
-4.839840e+00, 1.171202e+01, 6.520114e+00, 6.500405e+00
-4.829830e+00, 1.166363e+01, 6.520587e+00, 6.500424e+00
-4.819820e+00, 1.161533e+01, 6.521081e+00, 6.500444e+00
-4.809810e+00, 1.156714e+01, 6.521596e+00, 6.500466e+00
-4.799800e+00, 1.151904e+01, 6.522134e+00, 6.500490e+00
-4.789790e+00, 1.147104e+01, 6.522693e+00, 6.500515e+00
-4.779780e+00, 1.142315e+01, 6.523276e+00, 6.500542e+00
-4.769770e+00, 1.137535e+01, 6.523881e+00, 6.500570e+00
-4.759760e+00, 1.132766e+01, 6.524509e+00, 6.500601e+00
-4.749750e+00, 1.128006e+01, 6.525162e+00, 6.500633e+00
-4.739740e+00, 1.123257e+01, 6.525838e+00, 6.500668e+00
-4.729730e+00, 1.118517e+01, 6.526539e+00, 6.500704e+00
-4.719720e+00, 1.113788e+01, 6.527265e+00, 6.500743e+00
-4.709710e+00, 1.109068e+01, 6.528016e+00, 6.500785e+00
-4.699700e+00, 1.104359e+01, 6.528793e+00, 6.500829e+00
-4.689690e+00, 1.099659e+01, 6.529596e+00, 6.500876e+00
-4.679680e+00, 1.094970e+01, 6.530426e+00, 6.500926e+00
-4.669670e+00, 1.090291e+01, 6.531283e+00, 6.500979e+00
-4.659660e+00, 1.085621e+01, 6.532168e+00, 6.501035e+00
-4.649650e+00, 1.080962e+01, 6.533080e+00, 6.501094e+00
-4.639640e+00, 1.076313e+01, 6.534022e+00, 6.501157e+00
-4.629630e+00, 1.071674e+01, 6.534992e+00, 6.501224e+00
-4.619620e+00, 1.067044e+01, 6.535992e+00, 6.501295e+00
-4.609610e+00, 1.062425e+01, 6.537022e+00, 6.501371e+00
-4.599600e+00, 1.057816e+01, 6.538082e+00, 6.501450e+00
-4.589590e+00, 1.053217e+01, 6.539174e+00, 6.501535e+00
-4.579580e+00, 1.048627e+01, 6.540297e+00, 6.501624e+00
-4.569570e+00, 1.044048e+01, 6.541453e+00, 6.501718e+00
-4.559560e+00, 1.039479e+01, 6.542641e+00, 6.501818e+00
-4.549550e+00, 1.034920e+01, 6.543863e+00, 6.501924e+00
-4.539540e+00, 1.030371e+01, 6.545118e+00, 6.502036e+00
-4.529530e+00, 1.025832e+01, 6.546408e+00, 6.502154e+00
-4.519520e+00, 1.021303e+01, 6.547733e+00, 6.502278e+00
-4.509510e+00, 1.016784e+01, 6.549093e+00, 6.502410e+00
-4.499499e+00, 1.012275e+01, 6.550489e+00, 6.502549e+00
-4.489489e+00, 1.007776e+01, 6.551922e+00, 6.502696e+00
-4.479479e+00, 1.003287e+01, 6.553392e+00, 6.502851e+00
-4.469469e+00, 9.988079e+00, 6.554900e+00, 6.503014e+00
-4.459459e+00, 9.943389e+00, 6.556447e+00, 6.503186e+00
-4.449449e+00, 9.898800e+00, 6.558032e+00, 6.503368e+00
-4.439439e+00, 9.854311e+00, 6.559657e+00, 6.503559e+00
-4.429429e+00, 9.809923e+00, 6.561322e+00, 6.503760e+00
-4.419419e+00, 9.765634e+00, 6.563028e+00, 6.503972e+00
-4.409409e+00, 9.721446e+00, 6.564775e+00, 6.504196e+00
-4.399399e+00, 9.677358e+00, 6.566563e+00, 6.504431e+00
-4.389389e+00, 9.633370e+00, 6.568394e+00, 6.504678e+00
-4.379379e+00, 9.589482e+00, 6.570268e+00, 6.504938e+00
-4.369369e+00, 9.545694e+00, 6.572186e+00, 6.505211e+00
-4.359359e+00, 9.502007e+00, 6.574148e+00, 6.505498e+00
-4.349349e+00, 9.458420e+00, 6.576154e+00, 6.505799e+00
-4.339339e+00, 9.414933e+00, 6.578205e+00, 6.506116e+00
-4.329329e+00, 9.371546e+00, 6.580302e+00, 6.506448e+00
-4.319319e+00, 9.328260e+00, 6.582445e+00, 6.506797e+00
-4.309309e+00, 9.285073e+00, 6.584635e+00, 6.507163e+00
-4.299299e+00, 9.241987e+00, 6.586873e+00, 6.507547e+00
-4.289289e+00, 9.199001e+00, 6.589158e+00, 6.507949e+00
-4.279279e+00, 9.156116e+00, 6.591491e+00, 6.508371e+00
-4.269269e+00, 9.113330e+00, 6.593873e+00, 6.508812e+00
-4.259259e+00, 9.070645e+00, 6.596304e+00, 6.509274e+00
-4.249249e+00, 9.028060e+00, 6.598784e+00, 6.509758e+00
-4.239239e+00, 8.985575e+00, 6.601315e+00, 6.510265e+00
-4.229229e+00, 8.943190e+00, 6.603896e+00, 6.510794e+00
-4.219219e+00, 8.900905e+00, 6.606528e+00, 6.511348e+00
-4.209209e+00, 8.858721e+00, 6.609211e+00, 6.511927e+00
-4.199199e+00, 8.816637e+00, 6.611946e+00, 6.512532e+00
-4.189189e+00, 8.774653e+00, 6.614733e+00, 6.513164e+00
-4.179179e+00, 8.732769e+00, 6.617572e+00, 6.513823e+00
-4.169169e+00, 8.690986e+00, 6.620464e+00, 6.514512e+00
-4.159159e+00, 8.649302e+00, 6.623409e+00, 6.515230e+00
-4.149149e+00, 8.607719e+00, 6.626407e+00, 6.515979e+00
-4.139139e+00, 8.566236e+00, 6.629458e+00, 6.516759e+00
-4.129129e+00, 8.524854e+00, 6.632563e+00, 6.517573e+00
-4.119119e+00, 8.483571e+00, 6.635721e+00, 6.518420e+00
-4.109109e+00, 8.442389e+00, 6.638934e+00, 6.519303e+00
-4.099099e+00, 8.401307e+00, 6.642200e+00, 6.520221e+00
-4.089089e+00, 8.360325e+00, 6.645521e+00, 6.521176e+00
-4.079079e+00, 8.319443e+00, 6.648896e+00, 6.522170e+00
-4.069069e+00, 8.278662e+00, 6.652326e+00, 6.523203e+00
-4.059059e+00, 8.237980e+00, 6.655809e+00, 6.524277e+00
-4.049049e+00, 8.197399e+00, 6.659347e+00, 6.525392e+00
-4.039039e+00, 8.156918e+00, 6.662939e+00, 6.526549e+00
-4.029029e+00, 8.116537e+00, 6.666585e+00, 6.527751e+00
-4.019019e+00, 8.076257e+00, 6.670286e+00, 6.528997e+00
-4.009009e+00, 8.036077e+00, 6.674040e+00, 6.530290e+00
-3.998999e+00, 7.995996e+00, 6.677847e+00, 6.531630e+00
-3.988989e+00, 7.956017e+00, 6.681708e+00, 6.533018e+00
-3.978979e+00, 7.916137e+00, 6.685622e+00, 6.534455e+00
-3.968969e+00, 7.876357e+00, 6.689588e+00, 6.535944e+00
-3.958959e+00, 7.836678e+00, 6.693607e+00, 6.537484e+00
-3.948949e+00, 7.797099e+00, 6.697678e+00, 6.539077e+00
-3.938939e+00, 7.757620e+00, 6.701800e+00, 6.540723e+00
-3.928929e+00, 7.718241e+00, 6.705973e+00, 6.542425e+00
-3.918919e+00, 7.678963e+00, 6.710196e+00, 6.544182e+00
-3.908909e+00, 7.639784e+00, 6.714469e+00, 6.545997e+00
-3.898899e+00, 7.600706e+00, 6.718791e+00, 6.547869e+00
-3.888889e+00, 7.561728e+00, 6.723161e+00, 6.549801e+00
-3.878879e+00, 7.522851e+00, 6.727578e+00, 6.551792e+00
-3.868869e+00, 7.484073e+00, 6.732043e+00, 6.553844e+00
-3.858859e+00, 7.445396e+00, 6.736553e+00, 6.555957e+00
-3.848849e+00, 7.406819e+00, 6.741107e+00, 6.558133e+00
-3.838839e+00, 7.368342e+00, 6.745706e+00, 6.560371e+00
-3.828829e+00, 7.329965e+00, 6.750347e+00, 6.562674e+00
-3.818819e+00, 7.291689e+00, 6.755030e+00, 6.565040e+00
-3.808809e+00, 7.253512e+00, 6.759754e+00, 6.567472e+00
-3.798799e+00, 7.215436e+00, 6.764516e+00, 6.569969e+00
-3.788789e+00, 7.177460e+00, 6.769317e+00, 6.572532e+00
-3.778779e+00, 7.139585e+00, 6.774154e+00, 6.575160e+00
-3.768769e+00, 7.101809e+00, 6.779026e+00, 6.577856e+00
-3.758759e+00, 7.064134e+00, 6.783932e+00, 6.580617e+00
-3.748749e+00, 7.026559e+00, 6.788870e+00, 6.583446e+00
-3.738739e+00, 6.989084e+00, 6.793839e+00, 6.586341e+00
-3.728729e+00, 6.951709e+00, 6.798836e+00, 6.589303e+00
-3.718719e+00, 6.914434e+00, 6.803860e+00, 6.592331e+00
-3.708709e+00, 6.877260e+00, 6.808910e+00, 6.595425e+00
-3.698699e+00, 6.840186e+00, 6.813983e+00, 6.598585e+00
-3.688689e+00, 6.803212e+00, 6.819077e+00, 6.601810e+00
-3.678679e+00, 6.766338e+00, 6.824191e+00, 6.605100e+00
-3.668669e+00, 6.729565e+00, 6.829322e+00, 6.608453e+00
-3.658659e+00, 6.692892e+00, 6.834468e+00, 6.611869e+00
-3.648649e+00, 6.656318e+00, 6.839627e+00, 6.615346e+00
-3.638639e+00, 6.619846e+00, 6.844797e+00, 6.618885e+00
-3.628629e+00, 6.583473e+00, 6.849974e+00, 6.622482e+00
-3.618619e+00, 6.547200e+00, 6.855158e+00, 6.626137e+00
-3.608609e+00, 6.511028e+00, 6.860345e+00, 6.629849e+00
-3.598599e+00, 6.474956e+00, 6.865533e+00, 6.633615e+00
-3.588589e+00, 6.438984e+00, 6.870720e+00, 6.637433e+00
-3.578579e+00, 6.403112e+00, 6.875901e+00, 6.641302e+00
-3.568569e+00, 6.367341e+00, 6.881075e+00, 6.645218e+00
-3.558559e+00, 6.331670e+00, 6.886239e+00, 6.649181e+00
-3.548549e+00, 6.296098e+00, 6.891391e+00, 6.653187e+00
-3.538539e+00, 6.260627e+00, 6.896526e+00, 6.657233e+00
-3.528529e+00, 6.225257e+00, 6.901642e+00, 6.661316e+00
-3.518519e+00, 6.189986e+00, 6.906736e+00, 6.665434e+00
-3.508509e+00, 6.154816e+00, 6.911804e+00, 6.669583e+00
-3.498498e+00, 6.119746e+00, 6.916845e+00, 6.673759e+00
-3.488488e+00, 6.084776e+00, 6.921853e+00, 6.677960e+00
-3.478478e+00, 6.049906e+00, 6.926826e+00, 6.682181e+00
-3.468468e+00, 6.015137e+00, 6.931761e+00, 6.686418e+00
-3.458458e+00, 5.980467e+00, 6.936654e+00, 6.690667e+00
-3.448448e+00, 5.945898e+00, 6.941501e+00, 6.694923e+00
-3.438438e+00, 5.911429e+00, 6.946300e+00, 6.699183e+00
-3.428428e+00, 5.877061e+00, 6.951045e+00, 6.703442e+00
-3.418418e+00, 5.842792e+00, 6.955735e+00, 6.707694e+00
-3.408408e+00, 5.808624e+00, 6.960364e+00, 6.711935e+00
-3.398398e+00, 5.774556e+00, 6.964930e+00, 6.716160e+00
-3.388388e+00, 5.740588e+00, 6.969428e+00, 6.720362e+00
-3.378378e+00, 5.706720e+00, 6.973854e+00, 6.724538e+00
-3.368368e+00, 5.672953e+00, 6.978205e+00, 6.728680e+00
-3.358358e+00, 5.639285e+00, 6.982477e+00, 6.732784e+00
-3.348348e+00, 5.605718e+00, 6.986666e+00, 6.736844e+00
-3.338338e+00, 5.572251e+00, 6.990768e+00, 6.740853e+00
-3.328328e+00, 5.538885e+00, 6.994778e+00, 6.744805e+00
-3.318318e+00, 5.505618e+00, 6.998693e+00, 6.748695e+00
-3.308308e+00, 5.472452e+00, 7.002508e+00, 6.752515e+00
-3.298298e+00, 5.439386e+00, 7.006221e+00, 6.756259e+00
-3.288288e+00, 5.406420e+00, 7.009825e+00, 6.759922e+00
-3.278278e+00, 5.373554e+00, 7.013318e+00, 6.763495e+00
-3.268268e+00, 5.340789e+00, 7.016695e+00, 6.766973e+00
-3.258258e+00, 5.308123e+00, 7.019952e+00, 6.770350e+00
-3.248248e+00, 5.275558e+00, 7.023084e+00, 6.773617e+00
-3.238238e+00, 5.243093e+00, 7.026089e+00, 6.776769e+00
-3.228228e+00, 5.210729e+00, 7.028960e+00, 6.779799e+00
-3.218218e+00, 5.178464e+00, 7.031695e+00, 6.782700e+00
-3.208208e+00, 5.146300e+00, 7.034290e+00, 6.785466e+00
-3.198198e+00, 5.114236e+00, 7.036739e+00, 6.788089e+00
-3.188188e+00, 5.082272e+00, 7.039040e+00, 6.790564e+00
-3.178178e+00, 5.050408e+00, 7.041187e+00, 6.792883e+00
-3.168168e+00, 5.018645e+00, 7.043177e+00, 6.795041e+00
-3.158158e+00, 4.986981e+00, 7.045005e+00, 6.797031e+00
-3.148148e+00, 4.955418e+00, 7.046669e+00, 6.798847e+00
-3.138138e+00, 4.923955e+00, 7.048163e+00, 6.800483e+00
-3.128128e+00, 4.892593e+00, 7.049484e+00, 6.801933e+00
-3.118118e+00, 4.861330e+00, 7.050628e+00, 6.803192e+00
-3.108108e+00, 4.830168e+00, 7.051592e+00, 6.804253e+00
-3.098098e+00, 4.799106e+00, 7.052370e+00, 6.805113e+00
-3.088088e+00, 4.768144e+00, 7.052961e+00, 6.805766e+00
-3.078078e+00, 4.737282e+00, 7.053359e+00, 6.806207e+00
-3.068068e+00, 4.706521e+00, 7.053563e+00, 6.806432e+00
-3.058058e+00, 4.675860e+00, 7.053567e+00, 6.806436e+00
-3.048048e+00, 4.645298e+00, 7.053369e+00, 6.806217e+00
-3.038038e+00, 4.614838e+00, 7.052965e+00, 6.805770e+00
-3.028028e+00, 4.584477e+00, 7.052352e+00, 6.805093e+00
-3.018018e+00, 4.554216e+00, 7.051527e+00, 6.804182e+00
-3.008008e+00, 4.524056e+00, 7.050487e+00, 6.803036e+00
-2.997998e+00, 4.493996e+00, 7.049229e+00, 6.801653e+00
-2.987988e+00, 4.464036e+00, 7.047751e+00, 6.800031e+00
-2.977978e+00, 4.434176e+00, 7.046049e+00, 6.798169e+00
-2.967968e+00, 4.404417e+00, 7.044121e+00, 6.796067e+00
-2.957958e+00, 4.374758e+00, 7.041964e+00, 6.793725e+00
-2.947948e+00, 4.345199e+00, 7.039576e+00, 6.791143e+00
-2.937938e+00, 4.315740e+00, 7.036956e+00, 6.788322e+00
-2.927928e+00, 4.286381e+00, 7.034101e+00, 6.785263e+00
-2.917918e+00, 4.257122e+00, 7.031008e+00, 6.781970e+00
-2.907908e+00, 4.227964e+00, 7.027677e+00, 6.778443e+00
-2.897898e+00, 4.198906e+00, 7.024106e+00, 6.774687e+00
-2.887888e+00, 4.169948e+00, 7.020293e+00, 6.770705e+00
-2.877878e+00, 4.141091e+00, 7.016237e+00, 6.766501e+00
-2.867868e+00, 4.112333e+00, 7.011937e+00, 6.762080e+00
-2.857858e+00, 4.083676e+00, 7.007392e+00, 6.757447e+00
-2.847848e+00, 4.055119e+00, 7.002602e+00, 6.752608e+00
-2.837838e+00, 4.026662e+00, 6.997565e+00, 6.747571e+00
-2.827828e+00, 3.998305e+00, 6.992282e+00, 6.742341e+00
-2.817818e+00, 3.970049e+00, 6.986751e+00, 6.736927e+00
-2.807808e+00, 3.941892e+00, 6.980974e+00, 6.731336e+00
-2.797798e+00, 3.913836e+00, 6.974951e+00, 6.725578e+00
-2.787788e+00, 3.885880e+00, 6.968681e+00, 6.719662e+00
-2.777778e+00, 3.858025e+00, 6.962166e+00, 6.713598e+00
-2.767768e+00, 3.830269e+00, 6.955406e+00, 6.707395e+00
