# E = 3.5
# x, V(x), E + psi, E + |psi|^2
-4.119119e+00, 8.483571e+00, 3.511441e+00, 3.500131e+00
-4.109109e+00, 8.442389e+00, 3.511829e+00, 3.500140e+00
-4.099099e+00, 8.401307e+00, 3.512229e+00, 3.500150e+00
-4.089089e+00, 8.360325e+00, 3.512640e+00, 3.500160e+00
-4.079079e+00, 8.319443e+00, 3.513064e+00, 3.500171e+00
-4.069069e+00, 8.278662e+00, 3.513501e+00, 3.500182e+00
-4.059059e+00, 8.237980e+00, 3.513950e+00, 3.500195e+00
-4.049049e+00, 8.197399e+00, 3.514413e+00, 3.500208e+00
-4.039039e+00, 8.156918e+00, 3.514890e+00, 3.500222e+00
-4.029029e+00, 8.116537e+00, 3.515380e+00, 3.500237e+00
-4.019019e+00, 8.076257e+00, 3.515885e+00, 3.500252e+00
-4.009009e+00, 8.036077e+00, 3.516404e+00, 3.500269e+00
-3.998999e+00, 7.995996e+00, 3.516938e+00, 3.500287e+00
-3.988989e+00, 7.956017e+00, 3.517487e+00, 3.500306e+00
-3.978979e+00, 7.916137e+00, 3.518052e+00, 3.500326e+00
-3.968969e+00, 7.876357e+00, 3.518633e+00, 3.500347e+00
-3.958959e+00, 7.836678e+00, 3.519230e+00, 3.500370e+00
-3.948949e+00, 7.797099e+00, 3.519844e+00, 3.500394e+00
-3.938939e+00, 7.757620e+00, 3.520475e+00, 3.500419e+00
-3.928929e+00, 7.718241e+00, 3.521123e+00, 3.500446e+00
-3.918919e+00, 7.678963e+00, 3.521789e+00, 3.500475e+00
-3.908909e+00, 7.639784e+00, 3.522474e+00, 3.500505e+00
-3.898899e+00, 7.600706e+00, 3.523177e+00, 3.500537e+00
-3.888889e+00, 7.561728e+00, 3.523899e+00, 3.500571e+00
-3.878879e+00, 7.522851e+00, 3.524641e+00, 3.500607e+00
-3.868869e+00, 7.484073e+00, 3.525403e+00, 3.500645e+00
-3.858859e+00, 7.445396e+00, 3.526185e+00, 3.500686e+00
-3.848849e+00, 7.406819e+00, 3.526987e+00, 3.500728e+00
-3.838839e+00, 7.368342e+00, 3.527811e+00, 3.500773e+00
-3.828829e+00, 7.329965e+00, 3.528656e+00, 3.500821e+00
-3.818819e+00, 7.291689e+00, 3.529523e+00, 3.500872e+00
-3.808809e+00, 7.253512e+00, 3.530413e+00, 3.500925e+00
-3.798799e+00, 7.215436e+00, 3.531326e+00, 3.500981e+00
-3.788789e+00, 7.177460e+00, 3.532261e+00, 3.501041e+00
-3.778779e+00, 7.139585e+00, 3.533221e+00, 3.501104e+00
-3.768769e+00, 7.101809e+00, 3.534205e+00, 3.501170e+00
-3.758759e+00, 7.064134e+00, 3.535214e+00, 3.501240e+00
-3.748749e+00, 7.026559e+00, 3.536247e+00, 3.501314e+00
