# E = 4.5
# x, V(x), E + psi, E + |psi|^2
-5.000000e+00, 1.250000e+01, 4.502079e+00, 4.500004e+00
-4.989990e+00, 1.245000e+01, 4.502101e+00, 4.500004e+00
-4.979980e+00, 1.240010e+01, 4.502127e+00, 4.500005e+00
-4.969970e+00, 1.235030e+01, 4.502156e+00, 4.500005e+00
-4.959960e+00, 1.230060e+01, 4.502189e+00, 4.500005e+00
-4.949950e+00, 1.225100e+01, 4.502225e+00, 4.500005e+00
-4.939940e+00, 1.220150e+01, 4.502265e+00, 4.500005e+00
-4.929930e+00, 1.215210e+01, 4.502308e+00, 4.500005e+00
-4.919920e+00, 1.210281e+01, 4.502354e+00, 4.500006e+00
-4.909910e+00, 1.205361e+01, 4.502404e+00, 4.500006e+00
-4.899900e+00, 1.200451e+01, 4.502458e+00, 4.500006e+00
-4.889890e+00, 1.195551e+01, 4.502515e+00, 4.500006e+00
-4.879880e+00, 1.190661e+01, 4.502576e+00, 4.500007e+00
-4.869870e+00, 1.185782e+01, 4.502641e+00, 4.500007e+00
-4.859860e+00, 1.180912e+01, 4.502710e+00, 4.500007e+00
-4.849850e+00, 1.176052e+01, 4.502783e+00, 4.500008e+00
-4.839840e+00, 1.171202e+01, 4.502860e+00, 4.500008e+00
-4.829830e+00, 1.166363e+01, 4.502941e+00, 4.500009e+00
-4.819820e+00, 1.161533e+01, 4.503027e+00, 4.500009e+00
-4.809810e+00, 1.156714e+01, 4.503116e+00, 4.500010e+00
-4.799800e+00, 1.151904e+01, 4.503210e+00, 4.500010e+00
-4.789790e+00, 1.147104e+01, 4.503309e+00, 4.500011e+00
-4.779780e+00, 1.142315e+01, 4.503412e+00, 4.500012e+00
-4.769770e+00, 1.137535e+01, 4.503520e+00, 4.500012e+00
-4.759760e+00, 1.132766e+01, 4.503632e+00, 4.500013e+00
-4.749750e+00, 1.128006e+01, 4.503750e+00, 4.500014e+00
-4.739740e+00, 1.123257e+01, 4.503873e+00, 4.500015e+00
-4.729730e+00, 1.118517e+01, 4.504001e+00, 4.500016e+00
-4.719720e+00, 1.113788e+01, 4.504134e+00, 4.500017e+00
-4.709710e+00, 1.109068e+01, 4.504273e+00, 4.500018e+00
