# E = 0.5
# x, V(x), E + psi, E + |psi|^2
-5.000000e+00, 1.250000e+01, 5.000047e-01, 5.000000e-01
-4.989990e+00, 1.245000e+01, 5.000048e-01, 5.000000e-01
-4.979980e+00, 1.240010e+01, 5.000049e-01, 5.000000e-01
-4.969970e+00, 1.235030e+01, 5.000049e-01, 5.000000e-01
-4.959960e+00, 1.230060e+01, 5.000050e-01, 5.000000e-01
-4.949950e+00, 1.225100e+01, 5.000051e-01, 5.000000e-01
-4.939940e+00, 1.220150e+01, 5.000052e-01, 5.000000e-01
-4.929930e+00, 1.215210e+01, 5.000053e-01, 5.000000e-01
-4.919920e+00, 1.210281e+01, 5.000055e-01, 5.000000e-01
-4.909910e+00, 1.205361e+01, 5.000056e-01, 5.000000e-01
-4.899900e+00, 1.200451e+01, 5.000058e-01, 5.000000e-01
-4.889890e+00, 1.195551e+01, 5.000060e-01, 5.000000e-01
-4.879880e+00, 1.190661e+01, 5.000062e-01, 5.000000e-01
-4.869870e+00, 1.185782e+01, 5.000064e-01, 5.000000e-01
-4.859860e+00, 1.180912e+01, 5.000066e-01, 5.000000e-01
-4.849850e+00, 1.176052e+01, 5.000068e-01, 5.000000e-01
-4.839840e+00, 1.171202e+01, 5.000071e-01, 5.000000e-01
-4.829830e+00, 1.166363e+01, 5.000073e-01, 5.000000e-01
-4.819820e+00, 1.161533e+01, 5.000076e-01, 5.000000e-01
-4.809810e+00, 1.156714e+01, 5.000079e-01, 5.000000e-01
-4.799800e+00, 1.151904e+01, 5.000082e-01, 5.000000e-01
-4.789790e+00, 1.147104e+01, 5.000086e-01, 5.000000e-01
-4.779780e+00, 1.142315e+01, 5.000089e-01, 5.000000e-01
-4.769770e+00, 1.137535e+01, 5.000093e-01, 5.000000e-01
-4.759760e+00, 1.132766e+01, 5.000097e-01, 5.000000e-01
-4.749750e+00, 1.128006e+01, 5.000101e-01, 5.000000e-01
-4.739740e+00, 1.123257e+01, 5.000105e-01, 5.000000e-01
-4.729730e+00, 1.118517e+01, 5.000110e-01, 5.000000e-01
-4.719720e+00, 1.113788e+01, 5.000115e-01, 5.000000e-01
-4.709710e+00, 1.109068e+01, 5.000120e-01, 5.000000e-01
-4.699700e+00, 1.104359e+01, 5.000125e-01, 5.000000e-01
-4.689690e+00, 1.099659e+01, 5.000130e-01, 5.000000e-01
-4.679680e+00, 1.094970e+01, 5.000136e-01, 5.000000e-01
-4.669670e+00, 1.090291e+01, 5.000142e-01, 5.000000e-01
-4.659660e+00, 1.085621e+01, 5.000149e-01, 5.000000e-01
-4.649650e+00, 1.080962e+01, 5.000156e-01, 5.000000e-01
-4.639640e+00, 1.076313e+01, 5.000163e-01, 5.000000e-01
-4.629630e+00, 1.071674e+01, 5.000170e-01, 5.000000e-01
-4.619620e+00, 1.067044e+01, 5.000178e-01, 5.000000e-01
-4.609610e+00, 1.062425e+01, 5.000186e-01, 5.000000e-01
-4.599600e+00, 1.057816e+01, 5.000194e-01, 5.000000e-01
-4.589590e+00, 1.053217e+01, 5.000203e-01, 5.000000e-01
-4.579580e+00, 1.048627e+01, 5.000213e-01, 5.000000e-01
-4.569570e+00, 1.044048e+01, 5.000222e-01, 5.000000e-01
-4.559560e+00, 1.039479e+01, 5.000232e-01, 5.000000e-01
-4.549550e+00, 1.034920e+01, 5.000243e-01, 5.000000e-01
-4.539540e+00, 1.030371e+01, 5.000254e-01, 5.000000e-01
-4.529530e+00, 1.025832e+01, 5.000266e-01, 5.000000e-01
-4.519520e+00, 1.021303e+01, 5.000278e-01, 5.000000e-01
-4.509510e+00, 1.016784e+01, 5.000290e-01, 5.000000e-01
-4.499499e+00, 1.012275e+01, 5.000304e-01, 5.000000e-01
-4.489489e+00, 1.007776e+01, 5.000317e-01, 5.000000e-01
-4.479479e+00, 1.003287e+01, 5.000332e-01, 5.000000e-01
-4.469469e+00, 9.988079e+00, 5.000347e-01, 5.000000e-01
-4.459459e+00, 9.943389e+00, 5.000363e-01, 5.000000e-01
-4.449449e+00, 9.898800e+00, 5.000379e-01, 5.000000e-01
-4.439439e+00, 9.854311e+00, 5.000396e-01, 5.000000e-01
-4.429429e+00, 9.809923e+00, 5.000414e-01, 5.000000e-01
-4.419419e+00, 9.765634e+00, 5.000433e-01, 5.000000e-01
-4.409409e+00, 9.721446e+00, 5.000452e-01, 5.000000e-01
-4.399399e+00, 9.677358e+00, 5.000472e-01, 5.000000e-01
-4.389389e+00, 9.633370e+00, 5.000493e-01, 5.000000e-01
-4.379379e+00, 9.589482e+00, 5.000515e-01, 5.000000e-01
-4.369369e+00, 9.545694e+00, 5.000538e-01, 5.000000e-01
-4.359359e+00, 9.502007e+00, 5.000562e-01, 5.000000e-01
-4.349349e+00, 9.458420e+00, 5.000587e-01, 5.000000e-01
-4.339339e+00, 9.414933e+00, 5.000613e-01, 5.000000e-01
-4.329329e+00, 9.371546e+00, 5.000640e-01, 5.000000e-01
-4.319319e+00, 9.328260e+00, 5.000669e-01, 5.000000e-01
-4.309309e+00, 9.285073e+00, 5.000698e-01, 5.000000e-01
-4.299299e+00, 9.241987e+00, 5.000729e-01, 5.000000e-01
-4.289289e+00, 9.199001e+00, 5.000761e-01, 5.000000e-01
-4.279279e+00, 9.156116e+00, 5.000794e-01, 5.000000e-01
-4.269269e+00, 9.113330e+00, 5.000828e-01, 5.000000e-01
-4.259259e+00, 9.070645e+00, 5.000864e-01, 5.000000e-01
-4.249249e+00, 9.028060e+00, 5.000902e-01, 5.000000e-01
-4.239239e+00, 8.985575e+00, 5.000941e-01, 5.000000e-01
-4.229229e+00, 8.943190e+00, 5.000982e-01, 5.000000e-01
-4.219219e+00, 8.900905e+00, 5.001024e-01, 5.000000e-01
-4.209209e+00, 8.858721e+00, 5.001068e-01, 5.000000e-01
-4.199199e+00, 8.816637e+00, 5.001114e-01, 5.000000e-01
-4.189189e+00, 8.774653e+00, 5.001162e-01, 5.000000e-01
-4.179179e+00, 8.732769e+00, 5.001211e-01, 5.000000e-01
-4.169169e+00, 8.690986e+00, 5.001263e-01, 5.000000e-01
-4.159159e+00, 8.649302e+00, 5.001317e-01, 5.000000e-01
-4.149149e+00, 8.607719e+00, 5.001373e-01, 5.000000e-01
-4.139139e+00, 8.566236e+00, 5.001431e-01, 5.000000e-01
-4.129129e+00, 8.524854e+00, 5.001491e-01, 5.000000e-01
-4.119119e+00, 8.483571e+00, 5.001554e-01, 5.000000e-01
-4.109109e+00, 8.442389e+00, 5.001619e-01, 5.000000e-01
-4.099099e+00, 8.401307e+00, 5.001687e-01, 5.000000e-01
-4.089089e+00, 8.360325e+00, 5.001758e-01, 5.000000e-01
-4.079079e+00, 8.319443e+00, 5.001831e-01, 5.000000e-01
-4.069069e+00, 8.278662e+00, 5.001907e-01, 5.000000e-01
-4.059059e+00, 8.237980e+00, 5.001986e-01, 5.000000e-01
-4.049049e+00, 8.197399e+00, 5.002069e-01, 5.000000e-01
-4.039039e+00, 8.156918e+00, 5.002154e-01, 5.000000e-01
-4.029029e+00, 8.116537e+00, 5.002243e-01, 5.000001e-01
-4.019019e+00, 8.076257e+00, 5.002335e-01, 5.000001e-01
