# E = 5.5
# x, V(x), E + psi, E + |psi|^2
-5.000000e+00, 1.250000e+01, 5.505972e+00, 5.500036e+00
-4.989990e+00, 1.245000e+01, 5.506036e+00, 5.500036e+00
-4.979980e+00, 1.240010e+01, 5.506109e+00, 5.500037e+00
-4.969970e+00, 1.235030e+01, 5.506190e+00, 5.500038e+00
-4.959960e+00, 1.230060e+01, 5.506279e+00, 5.500039e+00
-4.949950e+00, 1.225100e+01, 5.506377e+00, 5.500041e+00
-4.939940e+00, 1.220150e+01, 5.506483e+00, 5.500042e+00
-4.929930e+00, 1.215210e+01, 5.506598e+00, 5.500044e+00
-4.919920e+00, 1.210281e+01, 5.506722e+00, 5.500045e+00
-4.909910e+00, 1.205361e+01, 5.506855e+00, 5.500047e+00
-4.899900e+00, 1.200451e+01, 5.506997e+00, 5.500049e+00
-4.889890e+00, 1.195551e+01, 5.507148e+00, 5.500051e+00
-4.879880e+00, 1.190661e+01, 5.507309e+00, 5.500053e+00
-4.869870e+00, 1.185782e+01, 5.507478e+00, 5.500056e+00
-4.859860e+00, 1.180912e+01, 5.507658e+00, 5.500059e+00
-4.849850e+00, 1.176052e+01, 5.507846e+00, 5.500062e+00
-4.839840e+00, 1.171202e+01, 5.508045e+00, 5.500065e+00
-4.829830e+00, 1.166363e+01, 5.508254e+00, 5.500068e+00
-4.819820e+00, 1.161533e+01, 5.508473e+00, 5.500072e+00
-4.809810e+00, 1.156714e+01, 5.508702e+00, 5.500076e+00
-4.799800e+00, 1.151904e+01, 5.508942e+00, 5.500080e+00
-4.789790e+00, 1.147104e+01, 5.509193e+00, 5.500085e+00
-4.779780e+00, 1.142315e+01, 5.509454e+00, 5.500089e+00
-4.769770e+00, 1.137535e+01, 5.509727e+00, 5.500095e+00
-4.759760e+00, 1.132766e+01, 5.510012e+00, 5.500100e+00
-4.749750e+00, 1.128006e+01, 5.510308e+00, 5.500106e+00
-4.739740e+00, 1.123257e+01, 5.510616e+00, 5.500113e+00
-4.729730e+00, 1.118517e+01, 5.510936e+00, 5.500120e+00
-4.719720e+00, 1.113788e+01, 5.511269e+00, 5.500127e+00
-4.709710e+00, 1.109068e+01, 5.511614e+00, 5.500135e+00
-4.699700e+00, 1.104359e+01, 5.511973e+00, 5.500143e+00
-4.689690e+00, 1.099659e+01, 5.512344e+00, 5.500152e+00
-4.679680e+00, 1.094970e+01, 5.512730e+00, 5.500162e+00
-4.669670e+00, 1.090291e+01, 5.513129e+00, 5.500172e+00
-4.659660e+00, 1.085621e+01, 5.513542e+00, 5.500183e+00
-4.649650e+00, 1.080962e+01, 5.513970e+00, 5.500195e+00
-4.639640e+00, 1.076313e+01, 5.514413e+00, 5.500208e+00
