# E = 5.5
# x, V(x), psi, |psi|^2
-5.000000e+00 1.250000e+01 5.505972e+00 5.500036e+00
-4.990000e+00 1.245005e+01 5.506036e+00 5.500036e+00
-4.980000e+00 1.240020e+01 5.506109e+00 5.500037e+00
-4.970000e+00 1.235045e+01 5.506189e+00 5.500038e+00
-4.960000e+00 1.230080e+01 5.506278e+00 5.500039e+00
-4.950000e+00 1.225125e+01 5.506376e+00 5.500041e+00
-4.940000e+00 1.220180e+01 5.506483e+00 5.500042e+00
-4.930000e+00 1.215245e+01 5.506598e+00 5.500044e+00
-4.920000e+00 1.210320e+01 5.506721e+00 5.500045e+00
-4.910000e+00 1.205405e+01 5.506854e+00 5.500047e+00
-4.900000e+00 1.200500e+01 5.506996e+00 5.500049e+00
-4.890000e+00 1.195605e+01 5.507147e+00 5.500051e+00
-4.880000e+00 1.190720e+01 5.507307e+00 5.500053e+00
-4.870000e+00 1.185845e+01 5.507476e+00 5.500056e+00
-4.860000e+00 1.180980e+01 5.507655e+00 5.500059e+00
-4.850000e+00 1.176125e+01 5.507844e+00 5.500062e+00
-4.840000e+00 1.171280e+01 5.508042e+00 5.500065e+00
-4.830000e+00 1.166445e+01 5.508250e+00 5.500068e+00
-4.820000e+00 1.161620e+01 5.508469e+00 5.500072e+00
-4.810000e+00 1.156805e+01 5.508698e+00 5.500076e+00
-4.800000e+00 1.152000e+01 5.508937e+00 5.500080e+00
-4.790000e+00 1.147205e+01 5.509187e+00 5.500084e+00
-4.780000e+00 1.142420e+01 5.509449e+00 5.500089e+00
-4.770000e+00 1.137645e+01 5.509721e+00 5.500094e+00
-4.760000e+00 1.132880e+01 5.510005e+00 5.500100e+00
-4.750000e+00 1.128125e+01 5.510300e+00 5.500106e+00
-4.740000e+00 1.123380e+01 5.510608e+00 5.500113e+00
-4.730000e+00 1.118645e+01 5.510927e+00 5.500119e+00
-4.720000e+00 1.113920e+01 5.511259e+00 5.500127e+00
-4.710000e+00 1.109205e+01 5.511604e+00 5.500135e+00
-4.700000e+00 1.104500e+01 5.511962e+00 5.500143e+00
-4.690000e+00 1.099805e+01 5.512333e+00 5.500152e+00
-4.680000e+00 1.095120e+01 5.512717e+00 5.500162e+00
-4.670000e+00 1.090445e+01 5.513115e+00 5.500172e+00
-4.660000e+00 1.085780e+01 5.513528e+00 5.500183e+00
-4.650000e+00 1.081125e+01 5.513955e+00 5.500195e+00
-4.640000e+00 1.076480e+01 5.514397e+00 5.500207e+00
-4.630000e+00 1.071845e+01 5.514854e+00 5.500221e+00
-4.620000e+00 1.067220e+01 5.515326e+00 5.500235e+00
-4.610000e+00 1.062605e+01 5.515815e+00 5.500250e+00
-4.600000e+00 1.058000e+01 5.516319e+00 5.500266e+00
-4.590000e+00 1.053405e+01 5.516840e+00 5.500284e+00
-4.580000e+00 1.048820e+01 5.517379e+00 5.500302e+00
-4.570000e+00 1.044245e+01 5.517934e+00 5.500322e+00
-4.560000e+00 1.039680e+01 5.518507e+00 5.500343e+00
-4.550000e+00 1.035125e+01 5.519099e+00 5.500365e+00
-4.540000e+00 1.030580e+01 5.519708e+00 5.500388e+00
-4.530000e+00 1.026045e+01 5.520337e+00 5.500414e+00
-4.520000e+00 1.021520e+01 5.520985e+00 5.500440e+00
-4.510000e+00 1.017005e+01 5.521653e+00 5.500469e+00
-4.500000e+00 1.012500e+01 5.522341e+00 5.500499e+00
-4.490000e+00 1.008005e+01 5.523050e+00 5.500531e+00
-4.480000e+00 1.003520e+01 5.523780e+00 5.500565e+00
-4.470000e+00 9.990450e+00 5.524532e+00 5.500602e+00
-4.460000e+00 9.945800e+00 5.525305e+00 5.500640e+00
-4.450000e+00 9.901250e+00 5.526101e+00 5.500681e+00
-4.440000e+00 9.856800e+00 5.526920e+00 5.500725e+00
-4.430000e+00 9.812450e+00 5.527763e+00 5.500771e+00
-4.420000e+00 9.768200e+00 5.528629e+00 5.500820e+00
-4.410000e+00 9.724050e+00 5.529520e+00 5.500871e+00
-4.400000e+00 9.680000e+00 5.530436e+00 5.500926e+00
-4.390000e+00 9.636050e+00 5.531377e+00 5.500985e+00
-4.380000e+00 9.592200e+00 5.532344e+00 5.501046e+00
-4.370000e+00 9.548450e+00 5.533338e+00 5.501111e+00
-4.360000e+00 9.504800e+00 5.534359e+00 5.501181e+00
-4.350000e+00 9.461250e+00 5.535407e+00 5.501254e+00
-4.340000e+00 9.417800e+00 5.536483e+00 5.501331e+00
-4.330000e+00 9.374450e+00 5.537588e+00 5.501413e+00
-4.320000e+00 9.331200e+00 5.538722e+00 5.501499e+00
-4.310000e+00 9.288050e+00 5.539886e+00 5.501591e+00
-4.300000e+00 9.245000e+00 5.541080e+00 5.501688e+00
-4.290000e+00 9.202050e+00 5.542304e+00 5.501790e+00
-4.280000e+00 9.159200e+00 5.543560e+00 5.501897e+00
-4.270000e+00 9.116450e+00 5.544848e+00 5.502011e+00
-4.260000e+00 9.073800e+00 5.546168e+00 5.502132e+00
-4.250000e+00 9.031250e+00 5.547522e+00 5.502258e+00
-4.240000e+00 8.988800e+00 5.548908e+00 5.502392e+00
-4.230000e+00 8.946450e+00 5.550329e+00 5.502533e+00
-4.220000e+00 8.904200e+00 5.551785e+00 5.502682e+00
-4.210000e+00 8.862050e+00 5.553276e+00 5.502838e+00
-4.200000e+00 8.820000e+00 5.554803e+00 5.503003e+00
-4.190000e+00 8.778050e+00 5.556366e+00 5.503177e+00
-4.180000e+00 8.736200e+00 5.557966e+00 5.503360e+00
-4.170000e+00 8.694450e+00 5.559603e+00 5.503553e+00
-4.160000e+00 8.652800e+00 5.561279e+00 5.503755e+00
-4.150000e+00 8.611250e+00 5.562993e+00 5.503968e+00
-4.140000e+00 8.569800e+00 5.564747e+00 5.504192e+00
-4.130000e+00 8.528450e+00 5.566540e+00 5.504428e+00
-4.120000e+00 8.487200e+00 5.568374e+00 5.504675e+00
-4.110000e+00 8.446050e+00 5.570248e+00 5.504935e+00
-4.100000e+00 8.405000e+00 5.572164e+00 5.505208e+00
-4.090000e+00 8.364050e+00 5.574122e+00 5.505494e+00
-4.080000e+00 8.323200e+00 5.576122e+00 5.505795e+00
-4.070000e+00 8.282450e+00 5.578165e+00 5.506110e+00
-4.060000e+00 8.241800e+00 5.580252e+00 5.506440e+00
-4.050000e+00 8.201250e+00 5.582382e+00 5.506787e+00
-4.040000e+00 8.160800e+00 5.584557e+00 5.507150e+00
-4.030000e+00 8.120450e+00 5.586778e+00 5.507530e+00
-4.020000e+00 8.080200e+00 5.589043e+00 5.507929e+00
-4.010000e+00 8.040050e+00 5.591355e+00 5.508346e+00
-4.000000e+00 8.000000e+00 5.593713e+00 5.508782e+00
