# E = 3.5
# x, V(x), psi, |psi|^2
-5.000000e+00 1.250000e+01 3.500631e+00 3.500000e+00
-4.990000e+00 1.245005e+01 3.500638e+00 3.500000e+00
-4.980000e+00 1.240020e+01 3.500646e+00 3.500000e+00
-4.970000e+00 1.235045e+01 3.500655e+00 3.500000e+00
-4.960000e+00 1.230080e+01 3.500666e+00 3.500000e+00
-4.950000e+00 1.225125e+01 3.500677e+00 3.500000e+00
-4.940000e+00 1.220180e+01 3.500690e+00 3.500000e+00
-4.930000e+00 1.215245e+01 3.500704e+00 3.500000e+00
-4.920000e+00 1.210320e+01 3.500719e+00 3.500001e+00
-4.910000e+00 1.205405e+01 3.500735e+00 3.500001e+00
-4.900000e+00 1.200500e+01 3.500753e+00 3.500001e+00
-4.890000e+00 1.195605e+01 3.500772e+00 3.500001e+00
-4.880000e+00 1.190720e+01 3.500792e+00 3.500001e+00
-4.870000e+00 1.185845e+01 3.500814e+00 3.500001e+00
-4.860000e+00 1.180980e+01 3.500836e+00 3.500001e+00
-4.850000e+00 1.176125e+01 3.500861e+00 3.500001e+00
-4.840000e+00 1.171280e+01 3.500886e+00 3.500001e+00
-4.830000e+00 1.166445e+01 3.500914e+00 3.500001e+00
-4.820000e+00 1.161620e+01 3.500942e+00 3.500001e+00
-4.810000e+00 1.156805e+01 3.500972e+00 3.500001e+00
-4.800000e+00 1.152000e+01 3.501004e+00 3.500001e+00
-4.790000e+00 1.147205e+01 3.501038e+00 3.500001e+00
-4.780000e+00 1.142420e+01 3.501073e+00 3.500001e+00
-4.770000e+00 1.137645e+01 3.501109e+00 3.500001e+00
-4.760000e+00 1.132880e+01 3.501148e+00 3.500001e+00
-4.750000e+00 1.128125e+01 3.501188e+00 3.500001e+00
-4.740000e+00 1.123380e+01 3.501230e+00 3.500002e+00
-4.730000e+00 1.118645e+01 3.501274e+00 3.500002e+00
-4.720000e+00 1.113920e+01 3.501320e+00 3.500002e+00
-4.710000e+00 1.109205e+01 3.501368e+00 3.500002e+00
-4.700000e+00 1.104500e+01 3.501418e+00 3.500002e+00
-4.690000e+00 1.099805e+01 3.501470e+00 3.500002e+00
-4.680000e+00 1.095120e+01 3.501525e+00 3.500002e+00
-4.670000e+00 1.090445e+01 3.501581e+00 3.500003e+00
-4.660000e+00 1.085780e+01 3.501640e+00 3.500003e+00
-4.650000e+00 1.081125e+01 3.501702e+00 3.500003e+00
-4.640000e+00 1.076480e+01 3.501766e+00 3.500003e+00
-4.630000e+00 1.071845e+01 3.501832e+00 3.500003e+00
-4.620000e+00 1.067220e+01 3.501901e+00 3.500004e+00
-4.610000e+00 1.062605e+01 3.501973e+00 3.500004e+00
-4.600000e+00 1.058000e+01 3.502048e+00 3.500004e+00
-4.590000e+00 1.053405e+01 3.502126e+00 3.500005e+00
-4.580000e+00 1.048820e+01 3.502206e+00 3.500005e+00
-4.570000e+00 1.044245e+01 3.502290e+00 3.500005e+00
-4.560000e+00 1.039680e+01 3.502377e+00 3.500006e+00
-4.550000e+00 1.035125e+01 3.502467e+00 3.500006e+00
-4.540000e+00 1.030580e+01 3.502560e+00 3.500007e+00
