# E = 1.5
# x, V(x), psi, |psi|^2
-5.000000e+00 1.250000e+01 1.500033e+00 1.500000e+00
-4.990000e+00 1.245005e+01 1.500034e+00 1.500000e+00
-4.980000e+00 1.240020e+01 1.500034e+00 1.500000e+00
-4.970000e+00 1.235045e+01 1.500035e+00 1.500000e+00
-4.960000e+00 1.230080e+01 1.500035e+00 1.500000e+00
-4.950000e+00 1.225125e+01 1.500036e+00 1.500000e+00
-4.940000e+00 1.220180e+01 1.500037e+00 1.500000e+00
-4.930000e+00 1.215245e+01 1.500037e+00 1.500000e+00
-4.920000e+00 1.210320e+01 1.500038e+00 1.500000e+00
-4.910000e+00 1.205405e+01 1.500039e+00 1.500000e+00
-4.900000e+00 1.200500e+01 1.500040e+00 1.500000e+00
-4.890000e+00 1.195605e+01 1.500042e+00 1.500000e+00
-4.880000e+00 1.190720e+01 1.500043e+00 1.500000e+00
-4.870000e+00 1.185845e+01 1.500044e+00 1.500000e+00
-4.860000e+00 1.180980e+01 1.500046e+00 1.500000e+00
-4.850000e+00 1.176125e+01 1.500047e+00 1.500000e+00
-4.840000e+00 1.171280e+01 1.500049e+00 1.500000e+00
-4.830000e+00 1.166445e+01 1.500050e+00 1.500000e+00
-4.820000e+00 1.161620e+01 1.500052e+00 1.500000e+00
-4.810000e+00 1.156805e+01 1.500054e+00 1.500000e+00
-4.800000e+00 1.152000e+01 1.500056e+00 1.500000e+00
-4.790000e+00 1.147205e+01 1.500058e+00 1.500000e+00
-4.780000e+00 1.142420e+01 1.500061e+00 1.500000e+00
-4.770000e+00 1.137645e+01 1.500063e+00 1.500000e+00
-4.760000e+00 1.132880e+01 1.500065e+00 1.500000e+00
-4.750000e+00 1.128125e+01 1.500068e+00 1.500000e+00
-4.740000e+00 1.123380e+01 1.500071e+00 1.500000e+00
-4.730000e+00 1.118645e+01 1.500074e+00 1.500000e+00
-4.720000e+00 1.113920e+01 1.500077e+00 1.500000e+00
-4.710000e+00 1.109205e+01 1.500080e+00 1.500000e+00
-4.700000e+00 1.104500e+01 1.500083e+00 1.500000e+00
-4.690000e+00 1.099805e+01 1.500087e+00 1.500000e+00
-4.680000e+00 1.095120e+01 1.500090e+00 1.500000e+00
-4.670000e+00 1.090445e+01 1.500094e+00 1.500000e+00
-4.660000e+00 1.085780e+01 1.500098e+00 1.500000e+00
-4.650000e+00 1.081125e+01 1.500103e+00 1.500000e+00
-4.640000e+00 1.076480e+01 1.500107e+00 1.500000e+00
-4.630000e+00 1.071845e+01 1.500112e+00 1.500000e+00
-4.620000e+00 1.067220e+01 1.500116e+00 1.500000e+00
-4.610000e+00 1.062605e+01 1.500121e+00 1.500000e+00
-4.600000e+00 1.058000e+01 1.500127e+00 1.500000e+00
-4.590000e+00 1.053405e+01 1.500132e+00 1.500000e+00
-4.580000e+00 1.048820e+01 1.500138e+00 1.500000e+00
-4.570000e+00 1.044245e+01 1.500144e+00 1.500000e+00
-4.560000e+00 1.039680e+01 1.500150e+00 1.500000e+00
-4.550000e+00 1.035125e+01 1.500156e+00 1.500000e+00
-4.540000e+00 1.030580e+01 1.500163e+00 1.500000e+00
-4.530000e+00 1.026045e+01 1.500170e+00 1.500000e+00
-4.520000e+00 1.021520e+01 1.500177e+00 1.500000e+00
-4.510000e+00 1.017005e+01 1.500185e+00 1.500000e+00
-4.500000e+00 1.012500e+01 1.500193e+00 1.500000e+00
-4.490000e+00 1.008005e+01 1.500201e+00 1.500000e+00
