# E = 6.5
# x, V(x), psi, |psi|^2
-5.000000e+00 1.250000e+01 6.515254e+00 6.500233e+00
-4.990000e+00 1.245005e+01 6.515415e+00 6.500238e+00
-4.980000e+00 1.240020e+01 6.515596e+00 6.500243e+00
-4.970000e+00 1.235045e+01 6.515794e+00 6.500249e+00
-4.960000e+00 1.230080e+01 6.516011e+00 6.500256e+00
-4.950000e+00 1.225125e+01 6.516246e+00 6.500264e+00
-4.940000e+00 1.220180e+01 6.516501e+00 6.500272e+00
-4.930000e+00 1.215245e+01 6.516774e+00 6.500281e+00
-4.920000e+00 1.210320e+01 6.517066e+00 6.500291e+00
-4.910000e+00 1.205405e+01 6.517377e+00 6.500302e+00
-4.900000e+00 1.200500e+01 6.517707e+00 6.500314e+00
-4.890000e+00 1.195605e+01 6.518057e+00 6.500326e+00
-4.880000e+00 1.190720e+01 6.518427e+00 6.500340e+00
-4.870000e+00 1.185845e+01 6.518816e+00 6.500354e+00
-4.860000e+00 1.180980e+01 6.519226e+00 6.500370e+00
-4.850000e+00 1.176125e+01 6.519656e+00 6.500386e+00
-4.840000e+00 1.171280e+01 6.520107e+00 6.500404e+00
-4.830000e+00 1.166445e+01 6.520579e+00 6.500423e+00
-4.820000e+00 1.161620e+01 6.521072e+00 6.500444e+00
-4.810000e+00 1.156805e+01 6.521586e+00 6.500466e+00
-4.800000e+00 1.152000e+01 6.522123e+00 6.500489e+00
-4.790000e+00 1.147205e+01 6.522681e+00 6.500514e+00
-4.780000e+00 1.142420e+01 6.523263e+00 6.500541e+00
-4.770000e+00 1.137645e+01 6.523867e+00 6.500570e+00
-4.760000e+00 1.132880e+01 6.524494e+00 6.500600e+00
-4.750000e+00 1.128125e+01 6.525145e+00 6.500632e+00
-4.740000e+00 1.123380e+01 6.525820e+00 6.500667e+00
-4.730000e+00 1.118645e+01 6.526520e+00 6.500703e+00
-4.720000e+00 1.113920e+01 6.527244e+00 6.500742e+00
-4.710000e+00 1.109205e+01 6.527994e+00 6.500784e+00
-4.700000e+00 1.104500e+01 6.528769e+00 6.500828e+00
-4.690000e+00 1.099805e+01 6.529571e+00 6.500874e+00
-4.680000e+00 1.095120e+01 6.530399e+00 6.500924e+00
-4.670000e+00 1.090445e+01 6.531254e+00 6.500977e+00
-4.660000e+00 1.085780e+01 6.532137e+00 6.501033e+00
-4.650000e+00 1.081125e+01 6.533048e+00 6.501092e+00
